image_id,nutrient,quantity,column,dx,dy,deviation,method,image_mean_dev,gt_image_mean
12.png,fatten/ rasva / matiéres grasses / fett/ tlustcze / fett,19,0,922.0,248.5,0.8451,mahalanobis,1.3012796875,0
12.png,fatten/ rasva / matiéres grasses / fett/ tlustcze / fett,0.7,0,916.5,374.5,1.0661,mahalanobis,1.3012796875,0
12.png,fatten/ rasva / matiéres grasses / fett/ tlustcze / fett,0.0,0,915.5,497.0,1.4573,mahalanobis,1.3012796875,1
12.png,fatten/ rasva / matiéres grasses / fett/ tlustcze / fett,0.4,0,916.0,564.5,1.7088,mahalanobis,1.3012796875,1
12.png,carbohydrate,19,0,927.0,1.0,1.3699,mahalanobis,1.3012796875,1
12.png,carbohydrate,0.7,0,921.5,127.0,1.0016,mahalanobis,1.3012796875,0
12.png,carbohydrate,0.0,0,920.5,249.5,0.8561,mahalanobis,1.3012796875,0
12.png,carbohydrate,0.4,0,921.0,317.0,0.9148,mahalanobis,1.3012796875,0
12.png,waarvan sukers / josta sokereiden osuus / dont sucres,0.7,0,915.5,2.0,1.4174,mahalanobis,1.3012796875,1
12.png,waarvan sukers / josta sokereiden osuus / dont sucres,0.0,0,914.5,124.5,1.051,mahalanobis,1.3012796875,0
12.png,waarvan sukers / josta sokereiden osuus / dont sucres,0.4,0,915.0,192.0,0.9265,mahalanobis,1.3012796875,0
12.png,sugars,0.0,0,996.0,72.0,0.8402,mahalanobis,1.3012796875,0
12.png,sugars,0.4,0,996.5,139.5,0.5632,mahalanobis,1.3012796875,0
12.png,protein,0.0,0,915.5,2.0,1.4174,mahalanobis,1.3012796875,1
12.png,protein,0.4,0,916.0,69.5,1.1916,mahalanobis,1.3012796875,0
12.png,energy,547,1,791.0,0.0,1.119,mahalanobis,1.3012796875,0
12.png,energy,129,1,754.1,55.0,0.8651,mahalanobis,1.3012796875,0
12.png,energy,0.0,1,823.5,128.0,0.6568,mahalanobis,1.3012796875,0
12.png,energy,0.0,1,821.5,199.0,0.4301,mahalanobis,1.3012796875,0
